WKT,name,buildings_id
"MULTIPOLYGON (((-0.1251459 51.512957,-0.1251254 51.5129676,-0.1250491 51.5130041,-0.1248774 51.5128792,-0.1249385 51.512845,-0.1249525 51.5128372,-0.1249694 51.5128277,-0.1250531 51.5128906,-0.125023 51.5129063,-0.1250439 51.512922,-0.1250768 51.5129051,-0.1250977 51.5129208,-0.1251459 51.512957)))",,13
"MULTIPOLYGON (((-0.1229157 51.5145913,-0.1230749 51.5146909,-0.1229601 51.5147655,-0.1228809 51.5147149,-0.1227976 51.514665,-0.1229157 51.5145913)))",,14
"MULTIPOLYGON (((-0.1217107 51.5120889,-0.1215529 51.5121594,-0.1214818 51.512191,-0.1215013 51.5122077,-0.1214927 51.5122116,-0.1214204 51.5122442,-0.1213529 51.5122747,-0.1212562 51.5123183,-0.1211494 51.5122266,-0.1210922 51.5121775,-0.1209287 51.5120371,-0.1208968 51.5120097,-0.1208228 51.5119461,-0.1212954 51.5117328,-0.1214658 51.5116534,-0.1216412 51.5118058,-0.1216969 51.5118537,-0.1216431 51.5118778,-0.1216125 51.5118919,-0.1215873 51.5119035,-0.1215254 51.511932,-0.1217107 51.5120889)))",London Transport Museum,15
"MULTIPOLYGON (((-0.1261752 51.512091,-0.1260238 51.5121454,-0.1258855 51.5119313,-0.1258567 51.5118834,-0.1260011 51.5118283,-0.1260359 51.5118374,-0.1261422 51.512035,-0.1261752 51.512091)))",Stanfords,16
"MULTIPOLYGON (((-0.1255184 51.5121891,-0.1254392 51.51223,-0.1253354 51.5122836,-0.1252495 51.5123279,-0.1252225 51.5123446,-0.1251853 51.5123191,-0.1250761 51.5123762,-0.1249902 51.5123015,-0.124974 51.5123099,-0.1248839 51.5122287,-0.1253017 51.5120176,-0.1254338 51.5119991,-0.1255296 51.5120758,-0.1254315 51.5121242,-0.1255184 51.5121891)))",,17
"MULTIPOLYGON (((-0.1267457 51.5110204,-0.1258851 51.5111019,-0.1258514 51.5109889,-0.1258383 51.510945,-0.1259305 51.5109361,-0.1259436 51.5109799,-0.1259535 51.5110127,-0.1260609 51.5110025,-0.1260545 51.5109909,-0.126375 51.5109624,-0.1263734 51.5109542,-0.1266654 51.5109186,-0.1267106 51.5109121,-0.1267164 51.5109332,-0.1267649 51.5109313,-0.1267735 51.5109645,-0.1267363 51.5109688,-0.1267457 51.5110204)))",,18
"MULTIPOLYGON (((-0.1255341 51.5109615,-0.1254795 51.510756,-0.1254468 51.510646,-0.1252224 51.5106652,-0.1251987 51.510617,-0.1251706 51.5105601,-0.125607 51.5105163,-0.125732 51.5109325,-0.1255341 51.5109615)))",,19
"MULTIPOLYGON (((-0.1249817 51.510565,-0.1250987 51.5105637,-0.1251706 51.5105601,-0.1251987 51.510617,-0.1251557 51.5106289,-0.1251007 51.5106528,-0.1251236 51.5107073,-0.1247116 51.5108728,-0.124558 51.5107236,-0.1245364 51.5107044,-0.1246084 51.5106729,-0.1246262 51.5106984,-0.1247992 51.5106346,-0.1249817 51.510565)))",Wagamama,20
"MULTIPOLYGON (((-0.1237879 51.5102755,-0.1238917 51.5103756,-0.1237742 51.5104215,-0.1236527 51.5103143,-0.123664 51.5103089,-0.1235957 51.5102504,-0.1235404 51.5102021,-0.1236108 51.5101716,-0.1237296 51.5102808,-0.1237765 51.5102651,-0.1237879 51.5102755)))",Ping Pong,21
"MULTIPOLYGON (((-0.1251587 51.5112517,-0.1251303 51.5112463,-0.1251055 51.5112332,-0.125097 51.51121,-0.1248193 51.5109732,-0.1251902 51.5107486,-0.1252562 51.5107322,-0.1253228 51.5107739,-0.1253384 51.5108654,-0.1253785 51.5109643,-0.1254429 51.5109615,-0.1254811 51.5111317,-0.1254298 51.5111505,-0.1254177 51.5111311,-0.1252035 51.5112189,-0.125188 51.5112398,-0.1251587 51.5112517)))",,22
"MULTIPOLYGON (((-0.125732 51.5109325,-0.1257844 51.511085,-0.1257643 51.5111102,-0.1254811 51.5111317,-0.1254429 51.5109615,-0.1255341 51.5109615,-0.125732 51.5109325)))",,23
"MULTIPOLYGON (((-0.1213763 51.5136484,-0.1218826 51.5138704,-0.1218235 51.5139229,-0.121797 51.5139445,-0.1213082 51.513732,-0.1213047 51.5137305,-0.1213763 51.5136484)))",,24
"MULTIPOLYGON (((-0.1211727 51.5138885,-0.1212429 51.513804,-0.1212459 51.5138053,-0.1216578 51.5139775,-0.1215687 51.5140552,-0.1211816 51.5138922,-0.1211727 51.5138885)))",,25
"MULTIPOLYGON (((-0.1214575 51.5142132,-0.1215477 51.5141447,-0.121556 51.514138,-0.1215654 51.5141418,-0.1215994 51.5141369,-0.1216309 51.5141518,-0.1216319 51.5141632,-0.1216388 51.514166,-0.1216676 51.5141414,-0.1217966 51.5142072,-0.12167 51.5143077,-0.1216561 51.514308,-0.1214575 51.5142132)))",,26
"MULTIPOLYGON (((-0.1218826 51.5138704,-0.1219218 51.5138359,-0.1221136 51.5139135,-0.1221165 51.5139324,-0.1220024 51.514055,-0.1219054 51.5140076,-0.1219406 51.5139757,-0.1218235 51.5139229,-0.1218826 51.5138704)))",Fielding Hotel,27
"MULTIPOLYGON (((-0.1203696 51.5137971,-0.1202354 51.5137416,-0.120221 51.5137293,-0.1202104 51.5137155,-0.1202082 51.5137078,-0.1202076 51.5136962,-0.1202703 51.513624,-0.1202833 51.5136089,-0.1203824 51.5134946,-0.1204244 51.5134462,-0.1205109 51.5133465,-0.1205163 51.5133423,-0.1205246 51.5133409,-0.1205308 51.5133408,-0.1207114 51.5134064,-0.1206187 51.5135123,-0.1204744 51.5136773,-0.1203696 51.5137971)))",,28
"MULTIPOLYGON (((-0.1214575 51.5142132,-0.1210474 51.5140386,-0.1211099 51.5139636,-0.1211175 51.5139665,-0.1215477 51.5141447,-0.1214575 51.5142132)))",,29
"MULTIPOLYGON (((-0.1218439 51.513291,-0.1219608 51.5133609,-0.1222069 51.5135033,-0.122233 51.5135173,-0.1222299 51.5135204,-0.1223627 51.5135951,-0.1223574 51.5135986,-0.1223721 51.5136304,-0.1221657 51.5138728,-0.1219267 51.5137779,-0.1215795 51.5136302,-0.1215254 51.5136112,-0.1217523 51.5133826,-0.1218439 51.513291)))",NoMad London,30
"MULTIPOLYGON (((-0.1218248 51.514208,-0.1216023 51.5141005,-0.1217793 51.5139497,-0.1217902 51.5139547,-0.1219054 51.5140076,-0.1220024 51.514055,-0.1218248 51.514208)))",,31
"MULTIPOLYGON (((-0.1206086 51.513878,-0.1204346 51.5138119,-0.1204849 51.5137496,-0.1204345 51.5137329,-0.1206027 51.5135463,-0.1208796 51.5136493,-0.1207067 51.5138355,-0.1206638 51.5138162,-0.1206086 51.513878)))",,32
"MULTIPOLYGON (((-0.121768 51.5132595,-0.1214675 51.5135707,-0.1213824 51.5135356,-0.1213476 51.5135646,-0.1211087 51.5134831,-0.1212147 51.5133729,-0.1212223 51.5133644,-0.1211507 51.5133361,-0.1211735 51.5133139,-0.1212069 51.5132813,-0.1213116 51.5133212,-0.1213666 51.5132569,-0.1212617 51.5132141,-0.1213545 51.5131269,-0.1213813 51.5131052,-0.1214697 51.5130335,-0.121768 51.5132595)))",Covent Garden Telephone Exchange,33
"MULTIPOLYGON (((-0.1213813 51.5131052,-0.1212617 51.5132141,-0.1212069 51.5132813,-0.1211735 51.5133139,-0.1208755 51.5131859,-0.1208443 51.5132163,-0.1206871 51.5131499,-0.1209021 51.5128986,-0.1210903 51.5128081,-0.1211688 51.5128807,-0.1211594 51.512887,-0.1211614 51.5129099,-0.1211728 51.5129237,-0.1210903 51.5129617,-0.1210481 51.5129934,-0.1210072 51.5130393,-0.1211379 51.5130939,-0.1211983 51.5130307,-0.1212191 51.5130385,-0.1213424 51.5130892,-0.1213813 51.5131052)))",,34
"MULTIPOLYGON (((-0.1205577 51.5132896,-0.1206871 51.5131499,-0.1208443 51.5132163,-0.1212147 51.5133729,-0.1211087 51.5134831,-0.1205577 51.5132896)))",Fortune Theatre,35
"MULTIPOLYGON (((-0.1226209 51.5137623,-0.122643 51.5137454,-0.1226547 51.5137502,-0.1226676 51.5137397,-0.1227315 51.5136877,-0.1229893 51.5138098,-0.1230275 51.5138362,-0.1230282 51.5138424,-0.1229585 51.5138831,-0.1229526 51.5138876,-0.1229406 51.5138962,-0.1229041 51.5139197,-0.1228666 51.5139436,-0.1228554 51.5139508,-0.1228376 51.5139604,-0.1228258 51.5139687,-0.1227725 51.5140024,-0.1227621 51.5140096,-0.1227525 51.5140161,-0.1226185 51.5139523,-0.1226304 51.5139434,-0.1226413 51.5139331,-0.1226294 51.5139246,-0.1225806 51.5138896,-0.1226034 51.5138437,-0.1226065 51.5138388,-0.1225806 51.5138242,-0.1225934 51.5138123,-0.1225748 51.5138024,-0.1226209 51.5137623)))",,36
"MULTIPOLYGON (((-0.1226928 51.5140543,-0.122515 51.5139689,-0.1225024 51.5139606,-0.1225248 51.5139432,-0.1225554 51.5139204,-0.1226185 51.5139523,-0.1227525 51.5140161,-0.1227366 51.5140256,-0.1226928 51.5140543)))",The Sun Tavern,37
"MULTIPOLYGON (((-0.1226928 51.5140543,-0.1226708 51.5140694,-0.122502 51.5141773,-0.122476 51.514194,-0.1223594 51.5141234,-0.1223453 51.514133,-0.1223254 51.5141231,-0.122316 51.5141185,-0.122515 51.5139689,-0.1226928 51.5140543)))",,38
"MULTIPOLYGON (((-0.122476 51.514194,-0.122383 51.5142537,-0.1223674 51.5142638,-0.12235 51.514275,-0.1223051 51.5143039,-0.1222872 51.5143154,-0.1222701 51.5143264,-0.1222081 51.5143663,-0.1220944 51.5144394,-0.1220433 51.514411,-0.1220797 51.514385,-0.1220489 51.5143661,-0.1221 51.514334,-0.1220857 51.5143255,-0.1221075 51.5143097,-0.1220898 51.5142995,-0.1221535 51.5142559,-0.1221863 51.514235,-0.1222505 51.5141944,-0.1223453 51.514133,-0.1223594 51.5141234,-0.122476 51.514194)))",,39
"MULTIPOLYGON (((-0.122643 51.5137454,-0.1226086 51.5137287,-0.1225987 51.5137369,-0.1226241 51.5137502,-0.1225399 51.5138168,-0.1226034 51.5138437,-0.1225806 51.5138896,-0.1224583 51.5138316,-0.1224239 51.5138153,-0.1224217 51.5138001,-0.1224411 51.5137827,-0.1225406 51.5136981,-0.1225486 51.5136912,-0.1226142 51.513634,-0.1227315 51.5136877,-0.1226676 51.5137397,-0.1226547 51.5137502,-0.122643 51.5137454)))",,41
"MULTIPOLYGON (((-0.1197655 51.5135186,-0.119834 51.5134479,-0.1198559 51.5134253,-0.1197137 51.5133689,-0.1197338 51.5133443,-0.1196361 51.5133048,-0.1197053 51.5132297,-0.1201983 51.5134083,-0.1200233 51.5136157,-0.1197655 51.5135186)))",,42
"MULTIPOLYGON (((-0.1194704 51.513385,-0.1192737 51.5133174,-0.1195152 51.5130452,-0.1195179 51.5130421,-0.1196379 51.5130833,-0.1194552 51.5132894,-0.1195318 51.5133157,-0.1194704 51.513385)))",,43
"MULTIPOLYGON (((-0.1195394 51.5130168,-0.1195496 51.513004,-0.1198002 51.5127197,-0.1199149 51.5127685,-0.1196585 51.5130571,-0.1195394 51.5130168)))",,44
"MULTIPOLYGON (((-0.1197744 51.5126643,-0.1199126 51.5124957,-0.120189 51.5126106,-0.120167 51.5126332,-0.12002 51.5127951,-0.1199149 51.5127685,-0.1198002 51.5127197,-0.1198304 51.512684,-0.1197744 51.5126643)))",Fish Works,45
"MULTIPOLYGON (((-0.1206986 51.512831,-0.1202336 51.5133397,-0.1202014 51.5133313,-0.1201799 51.5133563,-0.120078 51.5133163,-0.1200565 51.5133463,-0.119791 51.5132445,-0.1198044 51.5132311,-0.1197092 51.5131986,-0.1197887 51.513116,-0.1197391 51.5130964,-0.1198406 51.5129825,-0.1198996 51.5130058,-0.1199395 51.5129591,-0.1198854 51.5129364,-0.12002 51.5127951,-0.120167 51.5126332,-0.120309 51.5126952,-0.1203402 51.5126699,-0.1205608 51.512743,-0.1205387 51.5127733,-0.1206986 51.512831)))","Theatre Royal, Drury Lane",46
"MULTIPOLYGON (((-0.1233803 51.5130422,-0.1235361 51.5131497,-0.1235085 51.5131636,-0.1235409 51.5131889,-0.1235728 51.5132117,-0.123547 51.5132285,-0.1236114 51.5132785,-0.1236297 51.5132927,-0.1235681 51.5133268,-0.123365 51.513441,-0.1231651 51.5132912,-0.1231613 51.5132886,-0.1230595 51.5132179,-0.1231527 51.5131656,-0.1232892 51.513093,-0.1233803 51.5130422)))",The Royal Ballet School,47
"MULTIPOLYGON (((-0.1257492 51.5122685,-0.1254869 51.5124006,-0.125442 51.5124232,-0.1253344 51.5124808,-0.1252748 51.5125128,-0.1252179 51.5125433,-0.1252018 51.512552,-0.1251852 51.5125609,-0.1250932 51.5124876,-0.1251015 51.5124821,-0.1251133 51.5124767,-0.125126 51.512469,-0.1250861 51.5124376,-0.1250698 51.5124232,-0.1251241 51.5123946,-0.1251822 51.5123653,-0.1252225 51.5123446,-0.1252495 51.5123279,-0.1253354 51.5122836,-0.1254392 51.51223,-0.1255184 51.5121891,-0.1255817 51.5121579,-0.1256182 51.5121853,-0.1256346 51.5121772,-0.1257433 51.5122637,-0.1257492 51.5122685)))",,48
"MULTIPOLYGON (((-0.1257785 51.5122546,-0.125772 51.5122497,-0.1257433 51.5122637,-0.1256346 51.5121772,-0.1256844 51.5121543,-0.1256911 51.5121512,-0.1255491 51.5120365,-0.1255217 51.5119942,-0.1255366 51.5119781,-0.1258567 51.5118834,-0.1258855 51.5119313,-0.1260238 51.5121454,-0.1257976 51.5122461,-0.1257785 51.5122546)))",TK Maxx,49
"MULTIPOLYGON (((-0.1225672 51.511546,-0.122265 51.5116779,-0.1222144 51.511633,-0.1221382 51.5115655,-0.1223126 51.5114893,-0.1222022 51.5113914,-0.1221549 51.5114121,-0.1221824 51.5114364,-0.1220531 51.5114929,-0.1219399 51.5113925,-0.1221139 51.5113166,-0.1221272 51.5113108,-0.1221453 51.5113268,-0.1222732 51.511271,-0.1223574 51.5113456,-0.1223631 51.5113432,-0.1223646 51.5113425,-0.1224607 51.5114277,-0.1224601 51.5114279,-0.1224427 51.5114356,-0.1225145 51.5114992,-0.1225672 51.511546)))",Jubilee Market Hall,50
"MULTIPOLYGON (((-0.1224233 51.5146169,-0.1224844 51.5146593,-0.1223596 51.5147289,-0.1222986 51.5146865,-0.1224233 51.5146169)))",,51
"MULTIPOLYGON (((-0.1221959 51.5146153,-0.1222466 51.514587,-0.1223207 51.5145457,-0.1223794 51.5145864,-0.1222546 51.514656,-0.1221959 51.5146153)))",Redemption Roasters,52
